index,mean,std,percentile,name,meanhue,std hue
293,165.4249908,9.955725056,0.086917857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\14.JPG,0.008423816,0.071206722
294,165.5678866,9.142095341,0.093196429,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\15.JPG,0.004474884,0.005796879
295,165.5901831,9.66536752,0.08855,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\16.JPG,0.008349056,0.073104718
296,164.4001933,11.35756679,0.096060714,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\17.JPG,0.022592247,0.171507612
297,165.119631,9.805054005,0.093292857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\18.JPG,0.004633411,0.014430537
298,164.9785989,9.615334696,0.092785714,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\19.JPG,0.004172648,0.009048131
299,164.9621272,9.368645413,0.094960714,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\2.JPG,0.004966983,0.030498524
300,164.6706383,10.22631704,0.093221429,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\20.JPG,0.016790686,0.14285131
301,165.177741,8.361892682,0.092771429,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\21.JPG,0.004076756,0.010234287
302,165.2854345,8.514726704,0.093003571,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\22.JPG,0.004026354,0.006301515
303,165.5822366,8.319815464,0.091721429,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\23.JPG,0.004034602,0.012543265
304,165.3698477,8.455731611,0.092364286,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\24.JPG,0.004237096,0.007854543
305,164.9194293,9.488010804,0.093617857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\25.JPG,0.006138147,0.05357555
