index,mean,std,percentile,name,mean hue,std hue
6898,154.4484755,26.09300756,0.053060714,C:\opencv\nonwhite\626\6267541\6267541_CV042_StoneImage112_2018-02-12_020933.JPG,0.148376597,0.457197197
6899,154.6421116,27.96563941,0.053378571,C:\opencv\nonwhite\626\6267541\6267541_CV042_StoneImage36_2018-02-12_020933.JPG,0.18938949,0.533667327
6900,154.1078148,27.05183704,0.054292857,C:\opencv\nonwhite\626\6267541\6267541_CV042_StoneImage74_2018-02-12_020933.JPG,0.141052141,0.429107877
6901,166.6225467,25.53567055,0.053317857,C:\opencv\nonwhite\626\6267543\6267543_CV019_StoneImage113_2018-08-30_070550.JPG,0.070661908,0.318519001
6902,162.8548219,28.16260084,0.051439286,C:\opencv\nonwhite\626\6267543\6267543_CV019_StoneImage37_2018-08-30_070550.JPG,0.158440409,0.501791023
6903,163.3464709,27.92522218,0.051560714,C:\opencv\nonwhite\626\6267543\6267543_CV019_StoneImage75_2018-08-30_070550.JPG,0.14389318,0.471879198
6904,158.2277729,25.24944921,0.065557143,C:\opencv\nonwhite\626\6267547\6267547_CV041_StoneImage113_2016-04-29_121020.JPG,0.125331152,0.422171038
6905,156.4473326,27.74058319,0.065675,C:\opencv\nonwhite\626\6267547\6267547_CV041_StoneImage37_2016-04-29_121020.JPG,0.140709378,0.441810111
6906,151.654047,30.42040054,0.065657143,C:\opencv\nonwhite\626\6267547\6267547_CV041_StoneImage75_2016-04-29_121020.JPG,0.206171111,0.563013965
6907,159.8016738,25.78854622,0.049503571,C:\opencv\nonwhite\626\6267548\6267548_CV001_StoneImage112_2019-09-16_143253.JPG,0.16258633,0.486329223
6908,166.1377495,29.12367639,0.048846429,C:\opencv\nonwhite\626\6267548\6267548_CV001_StoneImage113_2019-09-17_163558.JPG,0.126848973,0.433170423
6909,167.7770055,29.4894278,0.049328571,C:\opencv\nonwhite\626\6267548\6267548_CV001_StoneImage36_2019-09-16_143253.JPG,0.097354824,0.353501496
6910,166.4269687,28.61677536,0.049025,C:\opencv\nonwhite\626\6267548\6267548_CV001_StoneImage37_2019-09-17_163558.JPG,0.123364559,0.424915393
6911,165.2288304,27.10783526,0.048460714,C:\opencv\nonwhite\626\6267548\6267548_CV001_StoneImage74_2019-09-16_143253.JPG,0.123958251,0.432388528
6912,159.7786068,27.16426555,0.049782143,C:\opencv\nonwhite\626\6267548\6267548_CV001_StoneImage75_2019-09-17_163558.JPG,0.171753716,0.485616698
6913,162.8762414,25.00323306,0.0561,C:\opencv\nonwhite\626\6267549\6267549_CV044_StoneImage112_2018-11-19_135433.JPG,0.137617277,0.488193325
6914,166.5908888,23.69631608,0.055896429,C:\opencv\nonwhite\626\6267549\6267549_CV044_StoneImage36_2018-11-19_135433.JPG,0.104098909,0.41566832
6915,166.5520309,24.72346804,0.055392857,C:\opencv\nonwhite\626\6267549\6267549_CV044_StoneImage74_2018-11-19_135433.JPG,0.078429531,0.361961403
6916,174.1406866,18.92845322,0.005077143,C:\opencv\nonwhite\626\6267549\6267549_CVXL1_StoneImage105_2019-06-19_181402.JPG,0.0492249,0.292834082
6917,174.6883943,20.27059625,0.005391429,C:\opencv\nonwhite\626\6267549\6267549_CVXL1_StoneImage158_2019-06-19_181402.JPG,0.046232348,0.288006466
6918,176.75,17.73318869,0.005417143,C:\opencv\nonwhite\626\6267549\6267549_CVXL1_StoneImage52_2019-06-19_181402.JPG,0.028978937,0.221946042
6919,118.4775064,29.87722576,0.048982143,C:\opencv\nonwhite\628\628\628_CV041_StoneImage112_2018-06-18_120903.JPG,1.219649928,0.955385273
6920,130.4940743,29.67909426,0.039778571,C:\opencv\nonwhite\628\628\628_CV041_StoneImage36_2018-06-18_120903.JPG,0.789058954,0.966121397
6921,123.0244025,31.15005148,0.049614286,C:\opencv\nonwhite\628\628\628_CV041_StoneImage74_2018-06-18_120903.JPG,0.900028521,0.986175689
6922,163.9981682,21.55252708,0.040942857,C:\opencv\nonwhite\628\6282375868\6282375868_CV014_StoneImage112_2018-03-12_051522.JPG,0.080169597,0.353892023
6923,164.5687096,24.17093511,0.040907143,C:\opencv\nonwhite\628\6282375868\6282375868_CV014_StoneImage36_2018-03-12_051522.JPG,0.083613384,0.355924576
